Schedule E: Merchandise,,,,,,,,,,
Own/  Other,Type,No.,Item,Description,Year of Manufacture,Date of Purchase,Purchase Price Per Item,Cumulative Purchase Price,Estimated Market Value Per Item,Cumulative Estimated Market Value
,,,"Knobs, Tubes, Cleats",,,,,,,
own,Finished Goods or Products,15,CKNOB0G1F,"Ceramic Knob, Glazed, Fair Condition",1880-1920,~last 3 years,0.25,3.75,2.5,37.5
own,Finished Goods or Products,0,CKNOB0G1G,"Ceramic Knob, Glazed, Good Condition",1880-1920,~last 3 years,0.5,0,3,0
own,Finished Goods or Products,0,CKNOB0G1NOS,"Ceramic Knob, Glazed, New Old Stock Condition",1880-1920,~last 3 years,0,0,7.5,0
own,Finished Goods or Products,15,CKNOB0GF,"Ceramic Knob, Glazed, Fair Condition",1880-1920,~last 3 years,0.25,3.75,1.5,22.5
own,Finished Goods or Products,28,CKNOB0GG,"Ceramic Knob, Glazed, Good Condition",1880-1920,~last 3 years,0.5,14,2.5,70
own,Finished Goods or Products,0,CKNOB0GNOS,"Ceramic Knob, Glazed, New Old Stock",1880-1920,~last 3 years,0,0,7.5,0
own,Finished Goods or Products,0,CKNOB0GWLF,"Ceramic Knob, Wrap Style,  Large, Fair Condition",1880-1920,~last 3 years,0,0,1.5,0
own,Finished Goods or Products,0,CKNOB0GWLG,"Ceramic Knob, Wrap Style,  Large, Good Condition",1880-1920,~last 3 years,0.5,0,2.5,0
own,Finished Goods or Products,0,CKNOB0GWLNOS,"Ceramic Knob, Wrap Style,  Large, New Old Stock Condition",1880-1920,~last 3 years,0,0,7.5,0
own,Finished Goods or Products,2,CKNOB0GWMF,"Ceramic Knob, Wrap Style, Medium, Fair Condition",1880-1920,~last 3 years,0.25,0.5,1.5,3
own,Finished Goods or Products,40,CKNOB0GWMG,"Ceramic Knob, Wrap Style, Medium Good Condition",1880-1920,~last 3 years,0.5,20,2.5,100
own,Finished Goods or Products,0,CKNOB0GWMNOS,"Ceramic Knob, Wrap Style, Medium, New Old Stock Condition",1880-1920,~last 3 years,0,0,7.5,0
own,Finished Goods or Products,0,CKNOB0GWSF,"Ceramic Knob, Wrap Style, Small, Fair Condition",1880-1920,~last 3 years,0.38,0,1.5,0
own,Finished Goods or Products,0,CKNOB0GWSG,"Ceramic Knob, Wrap Style, Small, Good Condition",1880-1920,~last 3 years,0.67,0,2.5,0
own,Finished Goods or Products,0,CKNOB0GWSNOS,"Ceramic Knob, Wrap Style, Small, New Old Stock Condition",1880-1920,~last 3 years,0,0,7.5,0
own,Finished Goods or Products,0,CKNOB0U1F,"Ceramic Knob, Unglazed, Fair Condition",1880-1920,~last 3 years,0,0,1.5,0
own,Finished Goods or Products,0,CKNOB0U1G,"Ceramic Knob, Unglazed, Good Condition",1880-1920,~last 3 years,0,0,2.5,0
own,Finished Goods or Products,0,CKNOB0U1NOS,"Ceramic Knob, Unglazed, New Old Stock Condition",1880-1920,~last 3 years,0,0,7.5,0
own,Finished Goods or Products,4,CKNOB0UF,"Ceramic Knob, Unglazed, Fair Condition",1880-1920,~last 3 years,0.25,1,1.5,6
own,Finished Goods or Products,0,CKNOB0UG,"Ceramic Knob, Unglazed, Good Condition",1880-1920,~last 3 years,0.5,0,2.5,0
own,Finished Goods or Products,0,CKNOB0UNOS,"Ceramic Knob, Unglazed, New Old Stock",1880-1920,~last 3 years,2.5,0,7.5,0
own,Finished Goods or Products,0,CKNOB0UWLF,"Ceramic Knob, Wrap Style,  Large, Fair Condition, Unglazed",1880-1920,~last 3 years,0,0,1.5,0
own,Finished Goods or Products,0,CKNOB0UWLG,"Ceramic Knob, Wrap Style,  Large, Good Condition, Unglazed",1880-1920,~last 3 years,0,0,2.5,0
own,Finished Goods or Products,0,CKNOB0UWLNOS,"Ceramic Knob, Wrap Style,  Large, New Old Stock Condition",1880-1920,~last 3 years,0,0,7.5,0
own,Finished Goods or Products,0,CKNOB0UWMF,"Ceramic Knob, Wrap Style,  Medium Fair Condition, Unglazed",1880-1920,~last 3 years,0,0,1.5,0
own,Finished Goods or Products,0,CKNOB0UWMG,"Ceramic Knob, Wrap Style,  Medium Good Condition, Unglazed",1880-1920,~last 3 years,0,0,2.5,0
own,Finished Goods or Products,0,CKNOB0UWMNOS,"Ceramic Knob, Wrap Style, Medium, New Old Stock Condition",1880-1920,~last 3 years,0,0,7.5,0
own,Finished Goods or Products,0,CKNOB0UWSG,"Ceramic Knob, Wrap Style,  Small, Good Condition, Unglazed",1880-1920,~last 3 years,0,0,2.5,0
own,Finished Goods or Products,0,CCLEAT0GF,"Ceramic Cleat (top and bottom) Glazed, Fair Condition",1880-1920,~last 3 years,0.25,0,1.5,0
own,Finished Goods or Products,0,CCLEAT0GG,"Ceramic Cleat (top and bottom) Glazed, Good Condition",1880-1920,~last 3 years,0.5,0,2.5,0
own,Finished Goods or Products,0,CCLEAT0GNOS,"Ceramic Cleat (top and bottom) Glazed, New Old Stock",1880-1920,~last 3 years,0,0,7.5,0
own,Finished Goods or Products,0,CCLEAT0UF,"Ceramic Cleat (top and bottom) Unglazed, Fair Condition",1880-1920,~last 3 years,0.5,0,1.5,0
own,Finished Goods or Products,8,CCLEAT0UG,"Ceramic Cleat (top and bottom) Unglazed, Good Condition",1880-1920,~last 3 years,0.5,4,2.5,20
own,Finished Goods or Products,0,CCLEAT0UNOS,"Ceramic Cleat (top and bottom) Unglazed, New Old Stock",1880-1920,~last 3 years,0,0,7.5,0
own,Finished Goods or Products,0,CTUBE011G,"Ceramic Tube, 11 Inch Length, Very Good Condition",1880-1920,~last 3 years,2,0,5,0
own,Finished Goods or Products,0,CTUBE02F,"Ceramic Tube, 2 Inch Length, Fair Condition",1880-1920,~last 3 years,0.25,0,1.5,0
own,Finished Goods or Products,3,CTUBE02G,"Ceramic Tube, 2 Inch Length, Good Condition",1880-1920,~last 3 years,0.5,1.5,2.5,7.5
own,Finished Goods or Products,47,CTUBE03F,"Ceramic Tube, 3 Inch Length, Fair Condition",1880-1920,~last 3 years,0.25,11.75,1.5,70.5
own,Finished Goods or Products,60,CTUBE03G,"Ceramic Tube, 3 Inch Length, Good Condition",1880-1920,~last 3 years,0.5,30,2.5,150
own,Finished Goods or Products,0,CTUBE03NOS,"Ceramic Tube, 3 Inch Length, New Old Stock",1880-1920,~last 3 years,0.75,0,7.5,0
own,Finished Goods or Products,0,CTUBE04F,"Ceramic Tube, 4 Inch Length, Fair Condition",1880-1920,~last 3 years,0.25,0,1.5,0
own,Finished Goods or Products,8,CTUBE04G,"Ceramic Tube, 4 Inch Length, Good Condition",1880-1920,~last 3 years,0.5,4,2.5,20
own,Finished Goods or Products,0,CTUBE04NOS,"Ceramic Tube, 4 Inch Length, New Old Stock",1880-1920,~last 3 years,0.75,0,7.5,0
own,Finished Goods or Products,0,CTUBE05F,"Ceramic Tube, 5 Inch Length, Fair Condition",1880-1920,~last 3 years,0.25,0,1.5,0
own,Finished Goods or Products,0,CTUBE05G,"Ceramic Tube, 5 Inch Length, Good Condition",1880-1920,~last 3 years,0.5,0,2.5,0
own,Finished Goods or Products,0,CTUBE05NOS,"Ceramic Tube, 5 Inch Length, New Old Stock",1880-1920,~last 3 years,0.75,0,7.5,0
own,Finished Goods or Products,0,CTUBE06F,"Ceramic Tube, 6 Inch Length, Fair Condition",1880-1920,~last 3 years,0.25,0,1.5,0
own,Finished Goods or Products,0,CTUBE06G,"Ceramic Tube, 6 Inch Length, Good Condition",1880-1920,~last 3 years,0.5,0,2.5,0
own,Finished Goods or Products,0,CTUBE06NOS,"Ceramic Tube, 6 Inch Length, New Old Stock",1880-1920,~last 3 years,0.75,0,7.5,0
own,Finished Goods or Products,0,CTUBE07G,"Ceramic Tube, 7 Inch Length, Very Good Condition",1880-1920,~last 3 years,0.5,0,2.5,0
own,Finished Goods or Products,0,CTUBE08G,"Ceramic Tube, 8 Inch Length, Very Good Condition",1880-1920,~last 3 years,0.5,0,2.5,0
,,,,,,,,,,
,,,Bulbs,,,,,,,
own,Finished Goods or Products,90,BA194L40,S2412  40A19/CL/120V /Vintage  40 Watt; A19; 3000 Average Rated Hours; 130 Lumens; Medium Base; ...,year purchased?,~last 3 years,3.39,305.1,9,810
