date,sku,change,reason,state,staff
2026-01-01,,-26,purchase,available,
2026-01-01,CS182RNDNK6,1,purchase,committed,
2026-01-01,W182RPWBXXF,-5,purchase,available,
2026-01-01,ISWVTGSLMBK,1,purchase,committed,
2026-01-01,SKSONK,10,purchase,committed,
2026-01-01,SKSOBK,5,purchase,committed,
2026-01-01,W182RPWBXXF,5,purchase,committed,
2026-01-01,CS182RNDNK6,-1,purchase,available,
2026-01-01,SKSOBR,15,purchase,committed,
2026-01-01,SKSOBK,-5,purchase,available,
2026-01-02,SKCKBZ,1,purchase,committed,
2026-01-02,SKCKBZ,-1,purchase,available,
2026-01-02,W183CPWHXXF,-25,purchase,available,
2026-01-02,W183CPBDSHF,-6,purchase,available,
2026-01-02,BA194L60,-1,purchase,available,
2026-01-02,W183CPBDSHF,6,purchase,committed,
2026-01-02,BA194L60,1,purchase,committed,
2026-01-02,W183CPWHXXF,25,purchase,committed,
2026-01-03,ADD18TWIST1,1,purchase,committed,
2026-01-03,PN2ACNWH,-1,purchase,available,Aaron Welch
2026-01-03,ADD18TWIST1,-1,purchase,available,
2026-01-03,FINIALTHBZ,-6,purchase,available,
2026-01-03,,-4,purchase,available,
2026-01-03,FINIALPYRAB,1,purchase,committed,
2026-01-03,FINIALTHAB,6,purchase,committed,
2026-01-03,PN2RUBRECTWH,1,purchase,committed,
2026-01-03,PN2ACNWH,1,purchase,committed,Aaron Welch
2026-01-03,SKPDUPLEX,4,purchase,committed,
2026-01-03,SKPDUPLEX,-4,purchase,available,
2026-01-03,SHHOLDUNONK,1,purchase,committed,
2026-01-03,PND18TCKU12,1,purchase,committed,
2026-01-03,FINIALTHBZ,6,purchase,committed,
2026-01-03,W182CTBWZZF,10,purchase,committed,Aaron Welch
2026-01-03,FINIALTHAB,-6,purchase,available,
2026-01-03,W182CTBWZZF,-10,purchase,available,Aaron Welch
2026-01-04,CANCONKBR,1,purchase,committed,
2026-01-04,PND18TCDU6,-1,purchase,available,
2026-01-04,W182RFGDXXF,-4,purchase,available,
2026-01-04,PND18TCDU6,1,purchase,committed,
2026-01-04,SHHOLDUNOBR,-1,purchase,available,
2026-01-04,W182RFGDXXF,4,purchase,committed,
2026-01-04,STRMETALBR,-1,purchase,available,
2026-01-04,STRMETALBR,1,purchase,committed,
2026-01-04,SHHOLDUNOBR,1,purchase,committed,
2026-01-04,CANCONKBR,-1,purchase,available,
2026-01-05,CS18TRIBNK6,1,order_edited,committed,Ian Nelson
2026-01-05,SWFRDIMBN,-1,purchase,available,
2026-01-05,W183CPBDSHF,-6,order_fulfilled,committed,
2026-01-05,FINIALTHBZ,-6,order_fulfilled,committed,
2026-01-05,CS16TRIBNK6,-1,order_edited,committed,Ian Nelson
