SKU,Handle,Title,Option,Status,Published,Type,Qty,Price,Cost,Inv Value,Vendor,Part Number,Cost Source
ADD16TWIST1,additional-footage-of-16-gauge-twisted-pair-for-cord-set-or-pendant,ADDITIONAL FOOTAGE of 16-GAUGE TWISTED PAIR for Cord Set or Pendant,1 foot,active,,Wire,-48,1.7,,,,,
ADD16TWIST2,additional-footage-of-16-gauge-twisted-pair-for-cord-set-or-pendant,ADDITIONAL FOOTAGE of 16-GAUGE TWISTED PAIR for Cord Set or Pendant,2 feet,active,,Wire,-18,3.4,,,,,
ADD16TWIST3,additional-footage-of-16-gauge-twisted-pair-for-cord-set-or-pendant,ADDITIONAL FOOTAGE of 16-GAUGE TWISTED PAIR for Cord Set or Pendant,3 feet,active,,Wire,-10,5.1,,,,,
ADD16TWIST4,additional-footage-of-16-gauge-twisted-pair-for-cord-set-or-pendant,ADDITIONAL FOOTAGE of 16-GAUGE TWISTED PAIR for Cord Set or Pendant,4 feet,active,,Wire,-1,6.8,,,,,
ADD16TWIST5,additional-footage-of-16-gauge-twisted-pair-for-cord-set-or-pendant,ADDITIONAL FOOTAGE of 16-GAUGE TWISTED PAIR for Cord Set or Pendant,5 feet,active,,Wire,-1,8.5,,,,,
ADD16TWIST6,additional-footage-of-16-gauge-twisted-pair-for-cord-set-or-pendant,ADDITIONAL FOOTAGE of 16-GAUGE TWISTED PAIR for Cord Set or Pendant,6 feet,active,,Wire,-3,10.2,,,,,
ADD182PULL1,additional-footage-of-2-conductor-18-gauge-pulley-cord-for-cord-set-or-pendant,ADDITIONAL FOOTAGE of 2-CONDUCTOR 18-GAUGE PULLEY CORD for Cord Set or Pendant,1 foot,active,,Wire,-18,1.15,,,,,
ADD182PULL2,additional-footage-of-2-conductor-18-gauge-pulley-cord-for-cord-set-or-pendant,ADDITIONAL FOOTAGE of 2-CONDUCTOR 18-GAUGE PULLEY CORD for Cord Set or Pendant,2 feet,active,,Wire,-50,2.3,,,,,
ADD182PULL3,additional-footage-of-2-conductor-18-gauge-pulley-cord-for-cord-set-or-pendant,ADDITIONAL FOOTAGE of 2-CONDUCTOR 18-GAUGE PULLEY CORD for Cord Set or Pendant,3 feet,active,,Wire,-16,3.45,,,,,
ADD182PULL4,additional-footage-of-2-conductor-18-gauge-pulley-cord-for-cord-set-or-pendant,ADDITIONAL FOOTAGE of 2-CONDUCTOR 18-GAUGE PULLEY CORD for Cord Set or Pendant,4 feet,active,,Wire,-6,4.6,,,,,
ADD182PULL5,additional-footage-of-2-conductor-18-gauge-pulley-cord-for-cord-set-or-pendant,ADDITIONAL FOOTAGE of 2-CONDUCTOR 18-GAUGE PULLEY CORD for Cord Set or Pendant,5 feet,active,,Wire,-4,5.75,,,,,
ADD182PULL6,additional-footage-of-2-conductor-18-gauge-pulley-cord-for-cord-set-or-pendant,ADDITIONAL FOOTAGE of 2-CONDUCTOR 18-GAUGE PULLEY CORD for Cord Set or Pendant,6 feet,active,,Wire,-8,6.9,,,,,
ADD18TWIST1,additional-footage-of-twisted-pair-for-cord-set-or-pendant,ADDITIONAL FOOTAGE of 18-GAUGE TWISTED PAIR for Cord Set or Pendant,1 foot,active,,Wire,-64,1.4,,,,,
ADD18TWIST2,additional-footage-of-twisted-pair-for-cord-set-or-pendant,ADDITIONAL FOOTAGE of 18-GAUGE TWISTED PAIR for Cord Set or Pendant,2 feet,active,,Wire,-40,2.8,,,,,
ADD18TWIST3,additional-footage-of-twisted-pair-for-cord-set-or-pendant,ADDITIONAL FOOTAGE of 18-GAUGE TWISTED PAIR for Cord Set or Pendant,3 feet,active,,Wire,-5,4.2,,,,,
ADD18TWIST4,additional-footage-of-twisted-pair-for-cord-set-or-pendant,ADDITIONAL FOOTAGE of 18-GAUGE TWISTED PAIR for Cord Set or Pendant,4 feet,active,,Wire,-3,5.6,,,,,
ADD18TWIST5,additional-footage-of-twisted-pair-for-cord-set-or-pendant,ADDITIONAL FOOTAGE of 18-GAUGE TWISTED PAIR for Cord Set or Pendant,5 feet,active,,Wire,-1,7.0,,,,,
ADD18TWIST6,additional-footage-of-twisted-pair-for-cord-set-or-pendant,ADDITIONAL FOOTAGE of 18-GAUGE TWISTED PAIR for Cord Set or Pendant,6 feet,active,,Wire,-1,8.4,,,,,
ADD20TWIST1,additional-footage-of-20-gauge-twisted-pair-for-cord-set-or-pendant,ADDITIONAL FOOTAGE of 20-GAUGE TWISTED PAIR for Cord Set or Pendant,1 foot,active,,Wire,0,1.2,,,,,
ADD20TWIST2,additional-footage-of-20-gauge-twisted-pair-for-cord-set-or-pendant,ADDITIONAL FOOTAGE of 20-GAUGE TWISTED PAIR for Cord Set or Pendant,2 feet,active,,Wire,0,2.4,,,,,
ADD20TWIST3,additional-footage-of-20-gauge-twisted-pair-for-cord-set-or-pendant,ADDITIONAL FOOTAGE of 20-GAUGE TWISTED PAIR for Cord Set or Pendant,3 feet,active,,Wire,0,3.6,,,,,
ADD20TWIST4,additional-footage-of-20-gauge-twisted-pair-for-cord-set-or-pendant,ADDITIONAL FOOTAGE of 20-GAUGE TWISTED PAIR for Cord Set or Pendant,4 feet,active,,Wire,0,4.8,,,,,
ADD20TWIST5,additional-footage-of-20-gauge-twisted-pair-for-cord-set-or-pendant,ADDITIONAL FOOTAGE of 20-GAUGE TWISTED PAIR for Cord Set or Pendant,5 feet,active,,Wire,0,6.0,,,,,
ADD20TWIST6,additional-footage-of-20-gauge-twisted-pair-for-cord-set-or-pendant,ADDITIONAL FOOTAGE of 20-GAUGE TWISTED PAIR for Cord Set or Pendant,6 feet,active,,Wire,0,7.2,,,,,
ADD22TWIST1,copy-of-additional-footage-of-20-gauge-twisted-pair-for-cord-set-or-pendant,ADDITIONAL FOOTAGE of 22-GAUGE TWISTED PAIR for Cord Set or Pendant,1 foot,active,,Wire,-4,1.0,,,,,
ADD22TWIST2,copy-of-additional-footage-of-20-gauge-twisted-pair-for-cord-set-or-pendant,ADDITIONAL FOOTAGE of 22-GAUGE TWISTED PAIR for Cord Set or Pendant,2 feet,active,,Wire,0,2.0,,,,,
ADD22TWIST3,copy-of-additional-footage-of-20-gauge-twisted-pair-for-cord-set-or-pendant,ADDITIONAL FOOTAGE of 22-GAUGE TWISTED PAIR for Cord Set or Pendant,3 feet,active,,Wire,0,3.0,,,,,
ADD22TWIST4,copy-of-additional-footage-of-20-gauge-twisted-pair-for-cord-set-or-pendant,ADDITIONAL FOOTAGE of 22-GAUGE TWISTED PAIR for Cord Set or Pendant,4 feet,active,,Wire,0,4.0,,,,,
ADD22TWIST5,copy-of-additional-footage-of-20-gauge-twisted-pair-for-cord-set-or-pendant,ADDITIONAL FOOTAGE of 22-GAUGE TWISTED PAIR for Cord Set or Pendant,5 feet,active,,Wire,0,5.0,,,,,
