Schedule E: Merchandise,,,,,,
Own/Other,Type,Description,Year of Manufacture,Year of purchase,Purchase price,Estimated market value
,,,,,,
,,"Knobs, Tubes, Cleats",,,,
own,Finished Goods or Products,68x CKNOB-GF - PORCELAIN CLEAT PAIR (clamp 2-wire glazed),,~last 3 years,17.00,136.00
own,Finished Goods or Products,208x CKNOB-GG - PORCELAIN CLEAT PAIR (clamp 2-wire glazed),,~last 3 years,104.00,624.00
own,Finished Goods or Products,7x CKNOB-GWMF - PORCELAIN CLEAT PAIR (wrap medium glazed),,~last 3 years,1.75,14.00
own,Finished Goods or Products,30x CKNOB-GWMG - PORCELAIN CLEAT PAIR (wrap medium glazed),,~last 3 years,15.00,90.00
own,Finished Goods or Products,"110x CTUBE-3F - PORCELAIN KNOB (3-3.75"")",,~last 3 years,27.50,220.00
own,Finished Goods or Products,"763x CTUBE-3G - PORCELAIN TUBE (3-3.75"")",,~last 3 years,381.50,2289.00
own,Finished Goods or Products,"1x CTUBE-4F - PORCELAIN TUBE (4-4.75"")",,~last 3 years,0.25,2.00
own,Finished Goods or Products,"2x CTUBE-5F - PORCELAIN TUBE (5-5.75"")",,~last 3 years,0.50,4.00
own,Finished Goods or Products,"43x CTUBE-5G - PORCELAIN TUBE (5-5.75"")",,~last 3 years,21.50,129.00
own,Finished Goods or Products,"1x CTUBE-6F - PORCELAIN TUBE (6-6.75"")",,~last 3 years,0.25,2.00
own,Finished Goods or Products,"7x CTUBE-6G - PORCELAIN TUBE (6-6.75"")",,~last 3 years,3.50,21.00
,,"  Subtotal: Knobs, Tubes, Cleats",,,572.75,3531.00
,,,,,,
,,Bulbs,,,,
own,Finished Goods or Products,90x BA194L40 - BULB: VICTORIAN STYLE WITH QUAD LOOP FILAMENT (40 watts),,~last 3 years,265.50,810.00
own,Finished Goods or Products,17x BA194L60 - BULB: VICTORIAN STYLE WITH QUAD LOOP FILAMENT (60 watts),,~last 3 years,50.15,170.00
own,Finished Goods or Products,25x BA19SIL100 - BULB: VICTORIAN STYLE WITH QUAD LOOP FILAMENT (100 watts),,~last 3 years,43.75,87.50
own,Finished Goods or Products,21x BA19SIL60 - BULB: SILVERED ANTI-GLARE (60 watts),,~last 3 years,36.75,73.50
own,Finished Goods or Products,"8x BG25CG40 - BULB: GLOBE STYLE WITH CAGE FILAMENT, 40W (Default Title)",,~last 3 years,23.60,48.00
own,Finished Goods or Products,"20x BG25SIL40 - BULB: GLOBE STYLE WITH CAGE FILAMENT, 40W (40 watt incandescent)",,~last 3 years,35.00,240.00
own,Finished Goods or Products,"11x BLEDA19AMB4.5 - BULB: VICTORIAN STYLE WITH LED FILAMENT, 4.5W, AMBER (Default Title)",,~last 3 years,43.45,121.00
own,Finished Goods or Products,"10x BLEDG25AMB4.5 - BULB: GLOBE STYLE WITH LED FILAMENT, 4.5W, AMBER (Default Title)",,~last 3 years,49.50,119.00
own,Finished Goods or Products,"20x BLEDG25SIL4.5 - BULB: GLOBE STYLE WITH SILVERED ANTI-GLARE, LED AND INCANDESCENT (4.5 watt LED)",,~last 3 years,79.00,240.00
own,Finished Goods or Products,"5x BLEDST19AMB6.5 - BULB: GLOBE STYLE WITH SILVERED ANTI-GLARE, LED AND INCANDESCENT (6.5 watts)",,~last 3 years,,69.50
own,Finished Goods or Products,12x BLEDST19AMBS4.5 - BULB: EDISON STYLE WITH LED FILAMENT (4.5 watts),,~last 3 years,71.88,142.80
own,Finished Goods or Products,12x BLEDT104.5 - BULB: TUBE STYLE WITH LED FILAMENT (Default Title),,~last 3 years,,132.00
own,Finished Goods or Products,"12x BLEDT6AMB2.5 - BULB: TUBE STYLE WITH LED FILAMENT, CANDELABRA BASE (amber glaze)",,~last 3 years,35.40,84.00
own,Finished Goods or Products,"105x BLEDT6AMB3.5 - BULB: TORPEDO STYLE WITH LED FILAMENT, 3.5W, AMBER FINISH, CANDELABRA BASE (Default Title)",,~last 3 years,309.75,840.00
own,Finished Goods or Products,"9x BLEDT6CL2.5 - BULB: TORPEDO STYLE WITH LED FILAMENT, 3.5W, AMBER FINISH, CANDELABRA BASE (no glaze (clear))",,~last 3 years,26.55,49.50
own,Finished Goods or Products,168x BST19CG40 - BULB: EDISON STYLE WITH CAGE FILAMENT (40 watts),,~last 3 years,495.60,1260.00
own,Finished Goods or Products,40x BST19CG60 - BULB: EDISON STYLE WITH CAGE FILAMENT (60 watts),,~last 3 years,118.00,300.00
own,Finished Goods or Products,"353x BST19HP40 - BULB: EDISON TEARDROP STYLE WITH HAIRPIN FILAMENT, 40W (Default Title)",,~last 3 years,1041.35,2647.50
own,Finished Goods or Products,"3x BST19MA60 - BULB: EDISON STYLE WITH MARCONI FILAMENT, 60W (Default Title)",,~last 3 years,,31.50
own,Finished Goods or Products,"20x BT14CG40 - BULB: EDISON STYLE WITH MARCONI FILAMENT, 60W (40 watts, no glaze)",,~last 3 years,59.00,180.00
own,Finished Goods or Products,"31x BT14CGAMB30 - BULB: RADIO TUBE STYLE (30 watts, amber glaze)",,~last 3 years,,279.00
own,Finished Goods or Products,"23x BT9CG40 - BULB: TUBE STYLE WITH CAGE FILAMENT, 40 Watt, CANDELABRA BASE (Default Title)",,~last 3 years,,161.00
own,Finished Goods or Products,13x CAGEAB - BULB: RADIO TUBE STYLE (antique brass),,~last 3 years,40.82,104.00
,,  Subtotal: Bulbs,,,2825.05,8189.80
,,,,,,
,,Cages,,,,
own,Finished Goods or Products,15x CAGEBK - Bulb Cage (black),,~last 3 years,47.10,120.00
own,Finished Goods or Products,13x CAGEBR - Bulb Cage (brass),,~last 3 years,29.25,104.00
own,Finished Goods or Products,23x CAGENK - Bulb Cage (nickel),,~last 3 years,72.68,184.00
own,Finished Goods or Products,151x CAGEST - Bulb Cage (steel),,~last 3 years,339.75,1208.00
own,Finished Goods or Products,21x CANCONKBK - Bulb Cage (black),,~last 3 years,68.25,126.00
,,  Subtotal: Cages,,,557.03,1742.00
,,,,,,
,,Canopies,,,,
own,Finished Goods or Products,"33x CANCONKBR - CEILING CANOPY KIT, CONTEMPORARY (brass)",,~last 3 years,107.25,198.00
own,Finished Goods or Products,"12x CANCONKNK - CEILING CANOPY KIT, CONTEMPORARY (nickel)",,~last 3 years,39.00,72.00
own,Finished Goods or Products,"18x CANRIBKBK - CEILING CANOPY KIT, CONTEMPORARY (black)",,~last 3 years,58.50,108.00
