SKU,Handle,Title,Option,Status,Published,Type,Qty,Price,Cost,Inv Value
W121CRBK100S,single-conductor-12-gauge-black-knob-and-tube-wire,SINGLE CONDUCTOR 12-GAUGE BLACK KNOB & TUBE WIRE,By the 100-foot spool,active,,Wire,43,225.0,100.04,4301.72
W121CRBK250S,single-conductor-12-gauge-black-knob-and-tube-wire,SINGLE CONDUCTOR 12-GAUGE BLACK KNOB & TUBE WIRE,By the 250-foot spool,active,,Wire,4,525.0,242.97,971.88
W121CRBK500S,single-conductor-12-gauge-black-knob-and-tube-wire,SINGLE CONDUCTOR 12-GAUGE BLACK KNOB & TUBE WIRE,By the 500-foot spool,active,,Wire,3,950.0,481.18,1443.54
W121CRBKXXF,single-conductor-12-gauge-black-knob-and-tube-wire,SINGLE CONDUCTOR 12-GAUGE BLACK KNOB & TUBE WIRE,By the foot,active,,Wire,4909,2.5,0.95,4663.55
W141CRBKXXF,single-conductor-14-gauge-black-cotton-wire,SINGLE-CONDUCTOR 14-GAUGE BLACK COTTON WIRE,By the foot,active,,Wire,0,1.0,0.11,
W141CRBKXXS,single-conductor-14-gauge-black-cotton-wire,SINGLE-CONDUCTOR 14-GAUGE BLACK COTTON WIRE,By the 100-foot spool,active,,Wire,0,65.0,12.43,
W141CRDBXXF,single-conductor-14-gauge-dark-brown-cotton-wire,SINGLE-CONDUCTOR 14-GAUGE DARK BROWN COTTON WIRE,By the foot,active,,Wire,0,1.0,0.11,
W141CRDBXXS,single-conductor-14-gauge-dark-brown-cotton-wire,SINGLE-CONDUCTOR 14-GAUGE DARK BROWN COTTON WIRE,By the 100-foot spool,active,,Wire,0,65.0,12.5,
W143CPBKXXF,3-conductor-14-gauge-black-cotton-pulley-cord,3-CONDUCTOR 14-GAUGE BLACK COTTON PULLEY CORD,By the foot,active,,Wire,100,3.25,0.37,37.0
W143CPBKXXS,3-conductor-14-gauge-black-cotton-pulley-cord,3-CONDUCTOR 14-GAUGE BLACK COTTON PULLEY CORD,By the 100-foot spool,active,,Wire,6,150.0,38.36,230.16
W143CPDBXXF,3-conductor-14-gauge-dark-brown-cotton-pulley-cord,3-CONDUCTOR 14-GAUGE DARK BROWN COTTON PULLEY CORD,By the foot,active,,Wire,100,3.25,0.37,37.0
W143CPDBXXS,3-conductor-14-gauge-dark-brown-cotton-pulley-cord,3-CONDUCTOR 14-GAUGE DARK BROWN COTTON PULLEY CORD,By the 100-foot spool,active,,Wire,5,150.0,38.48,192.4
W143RPPWXXF,3-conductor-14-gauge-pewter-rayon-pulley-cord,3-CONDUCTOR 14-GAUGE PEWTER RAYON PULLEY CORD,By the foot,active,,Wire,4931,3.25,0.42,2071.02
W143RPPWXXS,3-conductor-14-gauge-pewter-rayon-pulley-cord,3-CONDUCTOR 14-GAUGE PEWTER RAYON PULLEY CORD,By the 100-foot spool,active,,Wire,1,150.0,43.28,43.28
W162CTBKXXF,2-conductor-16-gauge-black-cotton-twisted-wire,2-CONDUCTOR 16-GAUGE BLACK COTTON TWISTED WIRE,By the foot,active,,Wire,4955,1.7,0.21,1040.55
W162CTBKXXL,2-conductor-16-gauge-black-cotton-twisted-wire,2-CONDUCTOR 16-GAUGE BLACK COTTON TWISTED WIRE,By the 50-foot spool,active,,Wire,8,85.0,12.05,96.4
W162CTBKXXS,2-conductor-16-gauge-black-cotton-twisted-wire,2-CONDUCTOR 16-GAUGE BLACK COTTON TWISTED WIRE,By the 250-foot spool,active,,Wire,4,280.0,56.23,224.92
