,,,,,,,,Grand Total,"$20,032,061.73",,,,,,,,,,,,,,,,,,,,,,,,,
Handle,Published,Status,Variant SKU,Option1 Value,Option2 Value,Variant Inventory Qty,Variant Price,Cost per item,Total Cost,Variant Grams,Title,Vendor,Product Category,Type,Tags,Body (HTML),Option1 Name,Option1 Linked To,Option2 Name,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Bulb size (product.metafields.shopify.bulb-size),Color (product.metafields.shopify.color-pattern),Socket type (product.metafields.shopify.socket-type),Variant Weight Unit,Variant Tax Code
bulb-victorian-style,TRUE,active,BA194L40,40 watts,,90,9.00,3.75,$337.50,85.00037519,BULB: VICTORIAN STYLE WITH QUAD LOOP FILAMENT,Sundial Wire,Home & Garden > Lighting > Light Bulbs > Incandescent Light Bulbs,Bulbs,"bulbs, incandescent, lamp parts, medium base, Vintage Style Bulbs - Incandescent","<div id=""product-detail"">
<p>This is a Victorian style bulb, 4.5"" tall, available in 40 and 60 watts, with hand-wound quad-loop tungsten filament.</p>
<p>This bulb can be used with any medium-base socket. Dimmer sockets will dim the brightness just like any other bulb.</p>
<p>Please note that this listing is for just the bulb, not any other lamp parts shown. </p>
<h2>Attributes</h2>
<p><strong>Bulb Base:</strong> Medium/Edison<br><strong>Bulb Length:</strong> 4.5""<br><strong>Bulb Life:</strong> 3,000 hours<br><strong>Bulb Type:</strong> A19<br><strong>Made in</strong> China</p>
<strong>PLEASE NOTE THAT BULBS ARE NOT RETURNABLE.</strong><br>
</div>",Watts,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
bulb-victorian-style,,active,BA194L60,60 watts,,17,10.00,3.75,$63.75,85.00037519,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
bulb-anti-glare-silvered,,active,BA19SIL100,100 watts,,25,3.50,1.10,$27.50,56.9995512,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
bulb-anti-glare-silvered,TRUE,active,BA19SIL60,60 watts,,21,3.50,1.10,$23.10,56.9995512,BULB: SILVERED ANTI-GLARE,Sundial Wire,Home & Garden > Lighting > Light Bulbs > Incandescent Light Bulbs,Bulbs,"anti-glare bulbs, bulbs, incandescent, lamp parts, medium base","<div id=""product-detail"">
<p>This light bulb is 4.5"" tall, available in 60 and 100 watts, with the top half of the bulb silvered to provide protection from glare when the bulb hangs from a shade that is open at the bottom.</p>
<p>This bulb can be used with any medium-base socket. Dimmer sockets will dim the brightness just like any other bulb.</p>
<p>Please note that this listing is for just the bulb, not any other lamp parts shown. </p>
<h2>Attributes</h2>
<p>Bulb Base: Medium/Edison<br>Bulb Length: 4.5""<br>Bulb Life: 1,500 hours<br>Bulb Type: A19<br>Made in China</p>
<p><b>PLEASE NOTE THAT BULBS ARE NOT RETURNABLE.</b></p>
</div>",Watts,,,,,,,shopify,deny,manual,,TRUE,TRUE,a19,silver; clear,,oz,
bulb-clip,TRUE,active,BCLIPMED,Default Title,,21,6.00,0.88,$18.48,28.34952313,Bulb Clip,Sundial Wire,,Sockets,"misc lamp parts, shade holders","<div id=""product-detail"">
<p>This is a brass-plated bulb clip that holds a shade onto a light bulb so that a harp is not needed to keep a shade on a lamp.</p>
<p>This product is one bulb clip only. Wire, bulb, and additional sockets are not included but are available elsewhere on the site.  </p>
<p>Attributes<br></p>
<p><strong>UL:</strong><span> </span><span>UL-listed, 250V, 660W</span><br><strong>Made in:</strong><span> </span>China<br><span><strong>Height:</strong> 3 5/8""</span><br><span><strong>Diameter:</strong> 2 1/8""</span><br><span><strong>Type: </strong>medium base<br><strong>Connector Size: </strong>1/8 IPS</span></p>
</div>",Title,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
bulb-globe-style-40w,TRUE,active,BG25CG40,Default Title,,8,6.00,,$0.00,85.04856938,"BULB: GLOBE STYLE WITH CAGE FILAMENT, 40W",Sundial Wire,,Bulbs,"bulbs, incandescent, lamp parts, medium base, Vintage Style Bulbs - Incandescent","<div id=""product-detail"">
<p>This is a globe style bulb with a vintage-style squirrel-cage filament, clear, 4.75"" tall, 3.13"" in diameter, 40 watts.</p>
<p>This bulb can be used with any medium-base socket. Dimmer sockets will dim the brightness just like any other bulb.</p>
<p>Please note that this listing is for just the bulb, not any other lamp parts shown.</p>
<p>Also, the bulb life in hours is given to us by the manufacturer. We make no guarantees that the bulb will burn that number of hours and we don't know the accuracy of the claim.</p>
<h2>Attributes</h2>
<p>Bulb Base: Medium/Edison<br>Bulb Length: 5 in<br>Approximate Diameter (+/- 2 mm): 79.5 mm, 3.13 in<br>Bulb Life: 3,000 hours<br>Bulb Type: G25<br>Made in China<br>Maximums: 120 Volts</p>
<p><b>PLEASE NOTE THAT BULBS ARE NOT RETURNABLE.</b></p>
</div>",Title,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
bulb-silvered-anti-glare-g25,,active,BG25SIL40,40 watt incandescent,,20,12.00,1.75,$35.00,56.9995512,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
bulb-led-victorian-style-amber-4-5w,TRUE,active,BLEDA19AMB4.5,Default Title,,11,11.00,,$0.00,85.04856938,"BULB: VICTORIAN STYLE WITH LED FILAMENT, 4.5W, AMBER",Sundial Wire,Home & Garden > Lighting > Light Bulbs > LED Light Bulbs,Bulbs,"bulbs, lamp parts, LED, medium base","<div id=""product-detail"">
<p>This is a classic Victorian style bulb, 4.0"" tall, 4.5 watts with an LED filament and an amber glaze for a lovely soft light. The light output is approximately equivalent to 40 watts in an incandescent bulb.</p>
<p>This bulb can be used with any medium-base socket. Dimmer sockets will dim the brightness just like any other bulb.</p>
<p>Please note that this listing is for just the bulb, not any other lamp parts shown. </p>
<h2>Attributes</h2>
<p>Bulb Base: Medium/Edison<br>Bulb Length: 4""<br>Bulb Life: 15,000 hours<br>Color Temp: 2000K<br>Bulb Type: A19<br>Made in China</p>
<p><b>PLEASE NOTE THAT BULBS ARE NOT RETURNABLE.</b></p>
</div>",Title,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
bulb-led-globe-style-amber-4-5w,TRUE,active,BLEDG25AMB4.5,Default Title,,10,11.90,,$0.00,85.04856938,"BULB: GLOBE STYLE WITH LED FILAMENT, 4.5W, AMBER",Sundial Wire,Home & Garden > Lighting > Light Bulbs > LED Light Bulbs,Bulbs,"bulbs, lamp parts, LED, medium base","<div id=""product-detail"">
<p>This is a classic globe style bulb, 4.5"" tall, 4.5 watts with an LED filament and an amber glaze for a lovely soft light. The wattage is approximately equivalent to 40 watts in an incandescent bulb.</p>
<p>This bulb can be used with any medium-base socket. Dimmer sockets will dim the brightness just like any other bulb.</p>
<p>Please note that this listing is for just the bulb, not any other lamp parts shown. </p>
<h2>Attributes</h2>
<p>Bulb Base: Medium/Edison<br>Bulb Length: 4.5""<br>Bulb Life: 15,000 hours<br>Bulb Type: G25<br>Color Temp: 2000K<br>Made in China</p>
<p><b>PLEASE NOTE THAT BULBS ARE NOT RETURNABLE.</b></p>
</div>",Title,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
