SKU,Cost,Vendor,Notes
# Knobs Tubes Cleats - purchased from sellers by grade
CCLEAT-GF,0.25,,Fair grade
CCLEAT-GG,0.50,,Good grade
CCLEAT-GNOS,0.75,,New Old Stock grade
CCLEAT-UF,0.25,,Fair grade
CCLEAT-UG,0.50,,Good grade
CCLEAT-UNOS,0.75,,New Old Stock grade
CKNOB-G1F,0.25,,Fair grade
CKNOB-G1G,0.50,,Good grade
CKNOB-G1NOS,0.75,,New Old Stock grade
CKNOB-GF,0.25,,Fair grade
CKNOB-GG,0.50,,Good grade
CKNOB-GNOS,0.75,,New Old Stock grade
CKNOB-GWLF,0.25,,Fair grade
CKNOB-GWLG,0.50,,Good grade
CKNOB-GWLNOS,0.75,,New Old Stock grade
CKNOB-GWMF,0.25,,Fair grade
CKNOB-GWMG,0.50,,Good grade
CKNOB-GWMNOS,0.75,,New Old Stock grade
CKNOB-GWSF,0.25,,Fair grade
CKNOB-GWSG,0.50,,Good grade
CKNOB-GWSNOS,0.75,,New Old Stock grade
CKNOB-U1F,0.25,,Fair grade
CKNOB-U1G,0.50,,Good grade
CKNOB-U1NOS,0.75,,New Old Stock grade
CKNOB-UF,0.25,,Fair grade
CKNOB-UG,0.50,,Good grade
CKNOB-UNOS,0.75,,New Old Stock grade
CKNOB-UWLF,0.25,,Fair grade
CKNOB-UWLG,0.50,,Good grade
CKNOB-UWLNOS,0.75,,New Old Stock grade
CKNOB-UWMF,0.25,,Fair grade
CKNOB-UWMG,0.50,,Good grade
CKNOB-UWMNOS,0.75,,New Old Stock grade
CKNOB-UWSG,0.50,,Good grade
CTUBE-3F,0.25,,Fair grade
CTUBE-3G,0.50,,Good grade
CTUBE-3NOS,0.75,,New Old Stock grade
CTUBE-4F,0.25,,Fair grade
CTUBE-4G,0.50,,Good grade
CTUBE-4NOS,0.75,,New Old Stock grade
CTUBE-5F,0.25,,Fair grade
CTUBE-5G,0.50,,Good grade
CTUBE-5NOS,0.75,,New Old Stock grade
CTUBE-6F,0.25,,Fair grade
CTUBE-6G,0.50,,Good grade
CTUBE-6NOS,0.75,,New Old Stock grade
# Bulbs - Satco
BA194L40,2.95,Satco,Est (PO price for 60W same product S2419)
BA194L60,2.95,Satco,PO 1011 S2419
BA19SIL60,1.75,Satco,PO 1011 S3955
BA19SIL100,1.75,Satco,PO 1011 S3956
BG25CG40,2.95,Satco,Est (vintage incandescent 66% of catalog $4.50)
BG25SIL40,1.75,Satco,PO 1011 S3861
BLEDG25SIL4.5,3.95,Satco,PO 1011 S12541
BLEDA19AMB4.5,3.95,Satco,Est (LED 91% of catalog $4.35)
BLEDG25AMB4.5,4.95,Satco,Est (LED 91% of catalog $5.45)
BLEDST19AMBS4.5,5.99,Satco,Est (LED 91% of catalog $6.60)
BLEDT6CL2.5,2.95,Satco,Est (LED similar to amber T6)
BLEDT6AMB2.5,2.95,Satco,Est (LED 91% of catalog $3.25)
BLEDT6AMB3.5,2.95,Satco,Est (LED 91% of catalog $3.25)
BST19CG40,2.95,Satco,Est (vintage incandescent S2413)
BST19CG60,2.95,Satco,Est (vintage incandescent S2423)
BST19HP40,2.95,Satco,Est (vintage incandescent S2414)
BT14CG40,2.95,Satco,PO 1011 S2417
# Bulb Clips - Satco
BCLIPMED,0.88,Satco,PO 1011 90-940
# Cages - Satco (catalog x 0.336 ratio from CAGEBR)
CAGEBK,3.14,Satco,Est (catalog $9.35 x 0.336)
CAGEBR,2.25,Satco,Worksheet
CAGEAB,3.14,Satco,Est (catalog $9.35 x 0.336)
CAGENK,3.16,Satco,Est (catalog $9.40 x 0.336)
CAGEST,2.25,Satco,Est (same catalog tier as brass $6.70)
# Canopies - Satco (all ~$3.25 from PO/price sheet)
CANCONKBK,3.25,Satco,PO 1011 90-893
CANCONKBR,3.25,Satco,Est (same product different finish)
CANCONKNK,3.25,Satco,Est (same product different finish)
CANRIBKBK,3.25,Satco,Est (price sheet DAB $3.25)
CANRIBKBR,3.25,Satco,Est (same product different finish)
CANRIBKBZ,3.25,Satco,Price sheet 90-1887
CANRIBKNK,3.25,Satco,Est (same product different finish)
CANSMTHKBR,3.25,Satco,Est (same product different finish)
CANSMTHKBZ,3.25,Satco,PO 1011 90-1891
CANSMTHKNK,3.25,Satco,Est (same product different finish)
# Finials - Satco
FINIALTHAB,0.54,Satco,Catalog 80-1518
FINIALTHBR,0.48,Satco,Catalog 80-1181
FINIALTHBZ,0.32,Satco,PO 1013 80-1519
FINIALTHNK,0.48,Satco,Catalog 80-1182
# Harps - Satco (catalog x 0.536 ratio from HRPHDDAB10)
HRPHDAB8,1.18,Satco,Est (catalog $2.20 x 0.536)
HRPHDAB9,1.23,Satco,Est (catalog $2.30 x 0.536)
HRPHDAB9.5,1.23,Satco,Est (catalog $2.30 x 0.536)
HRPHDAB10,1.26,Satco,Est (catalog $2.35 x 0.536)
HRPHDBR8,1.02,Satco,Est (catalog $1.90 x 0.536)
HRPHDBR8.5,1.02,Satco,Est (catalog $1.90 x 0.536)
HRPHDBR9,1.04,Satco,Est (catalog $1.95 x 0.536)
HRPHDBR9.5,1.04,Satco,Est (catalog $1.95 x 0.536)
HRPHDBR10,1.10,Satco,Est (catalog $2.05 x 0.536)
HRPHDDAB8,1.18,Satco,Est (catalog $2.20 x 0.536)
HRPHDDAB8.5,1.18,Satco,Est (catalog $2.20 x 0.536)
HRPHDDAB9,1.23,Satco,Est (catalog $2.30 x 0.536)
HRPHDDAB9.5,1.23,Satco,Est (catalog $2.30 x 0.536)
HRPHDDAB10,1.26,Satco,Price sheet 80-2152
