SKU,Handle,Title,Option,Status,Published,Type,Qty,Price,Cost,Inv Value,Vendor,Part Number,Cost Source
BA194L40,bulb-victorian-style,BULB: VICTORIAN STYLE WITH QUAD LOOP FILAMENT,40 watts,active,TRUE,Bulbs,90,9.00,2.95,265.50,Satco,S2412,Est (PO price for 60W same product S2419)
BA194L60,bulb-victorian-style,BULB: VICTORIAN STYLE WITH QUAD LOOP FILAMENT,60 watts,active,TRUE,Bulbs,17,10.00,2.95,50.15,Satco,S2419,PO 1011 S2419
BA19SIL100,bulb-anti-glare-silvered,BULB: VICTORIAN STYLE WITH QUAD LOOP FILAMENT,100 watts,active,TRUE,Bulbs,25,3.50,1.75,43.75,Satco,S3956,PO 1011 S3956
BA19SIL60,bulb-anti-glare-silvered,BULB: SILVERED ANTI-GLARE,60 watts,active,TRUE,Bulbs,21,3.50,1.75,36.75,Satco,S3955,PO 1011 S3955
BCLIPMED,bulb-clip,Bulb Clip,Default Title,active,TRUE,Sockets,21,6.00,0.88,18.48,Satco,90/940,PO 1011 90-940
BG25CG40,bulb-globe-style-40w,"BULB: GLOBE STYLE WITH CAGE FILAMENT, 40W",Default Title,active,TRUE,Bulbs,8,6.00,2.95,23.60,Satco,S2425,Est (vintage incandescent 66% of catalog $4.50)
BG25SIL40,bulb-silvered-anti-glare-g25,"BULB: GLOBE STYLE WITH CAGE FILAMENT, 40W",40 watt incandescent,active,TRUE,Bulbs,20,12.00,1.75,35.00,Satco,S3861,PO 1011 S3861
BLEDA19AMB4.5,bulb-led-victorian-style-amber-4-5w,"BULB: VICTORIAN STYLE WITH LED FILAMENT, 4.5W, AMBER",Default Title,active,TRUE,Bulbs,11,11.00,3.95,43.45,Satco,S9583,Est (LED 91% of catalog $4.35)
BLEDG25AMB4.5,bulb-led-globe-style-amber-4-5w,"BULB: GLOBE STYLE WITH LED FILAMENT, 4.5W, AMBER",Default Title,active,TRUE,Bulbs,10,11.90,4.95,49.50,Satco,S9584,Est (LED 91% of catalog $5.45)
BLEDG25SIL4.5,bulb-silvered-anti-glare-g25,"BULB: GLOBE STYLE WITH SILVERED ANTI-GLARE, LED AND INCANDESCENT",4.5 watt LED,active,TRUE,Bulbs,20,12.00,3.95,79.00,Satco,S12541,PO 1011 S12541
BLEDST19AMB6.5,bulb-led-edison-style-amber,"BULB: GLOBE STYLE WITH SILVERED ANTI-GLARE, LED AND INCANDESCENT",6.5 watts,active,TRUE,Bulbs,5,13.90,,,,discontinued? maybe S9272?,
BLEDST19AMBS4.5,bulb-led-edison-style-amber,BULB: EDISON STYLE WITH LED FILAMENT,4.5 watts,active,TRUE,Bulbs,12,11.90,5.99,71.88,Satco,S8612,Est (LED 91% of catalog $6.60)
BLEDT104.5,bulb-led-tube-style,BULB: TUBE STYLE WITH LED FILAMENT,Default Title,active,TRUE,Bulbs,12,11.00,,,,probably S9580 but need to confirm color temp,
BLEDT6AMB2.5,bulb-led-candelabra-tube-style,"BULB: TUBE STYLE WITH LED FILAMENT, CANDELABRA BASE",amber glaze,active,TRUE,Bulbs,12,7.00,2.95,35.40,Satco,S9873,Est (LED 91% of catalog $3.25)
BLEDT6AMB3.5,bulb-led-candelabra-torpedo-style-amber-3-5w,"BULB: TORPEDO STYLE WITH LED FILAMENT, 3.5W, AMBER FINISH, CANDELABRA BASE",Default Title,active,TRUE,Bulbs,105,8.00,2.95,309.75,Satco,S9986,Est (LED 91% of catalog $3.25)
BLEDT6CL2.5,bulb-led-candelabra-tube-style,"BULB: TORPEDO STYLE WITH LED FILAMENT, 3.5W, AMBER FINISH, CANDELABRA BASE",no glaze (clear),active,TRUE,Bulbs,9,5.50,2.95,26.55,Satco,S9872,Est (LED similar to amber T6)
BST19CG40,bulb-edison-style-cage-filament,BULB: EDISON STYLE WITH CAGE FILAMENT,40 watts,active,TRUE,Bulbs,168,7.50,2.95,495.60,Satco,S2413,Est (vintage incandescent S2413)
BST19CG60,bulb-edison-style-cage-filament,BULB: EDISON STYLE WITH CAGE FILAMENT,60 watts,active,TRUE,Bulbs,40,7.50,2.95,118.00,Satco,S2423,Est (vintage incandescent S2423)
