,,,
Company 1,,,
Customer SUNNMA0,,,
Item,Description,2025,
80/1055,PNI CAST BRASS S. KEYLESS SKT,6.9,y
80/1059,PNI CAST BRASS ON/OFF T/K SKT,8.34,y
80/1065,PNI CAST BRASS 150W DIMMER 1/8,11.94,y
80/1066,PL CAST BRASS 150W DIMMER 1/8,12.6,y
80/1067,PNI CAST BRASS 150W DIMMER 1/8,12.6,y
80/1095,BRN CAND SKT,1.26,y
80/1180,PNI SB ON/OFF SKT W/SS 1/8,4.08,y
80/1311,BRN CAND SKT,1.19,y
80/1688,3 PRONG RUBBER PLUG W/ METAL,3.54,y
80/1754,NICKEL PUSH THRU SKT W/ SIDE,1.5,y
80/2152,"10"" DARK ANTIQUE HEAVY DUTY",1.26,y
80/2253,DARK ANT S.B 4 PC CAST ON-OFF,9.54,y
80/2326,4PC SHORT KEYLESS BRASS SKT,7.5,y
80/2327,4PC 150W S.B. FULL RANGE T/K,13.14,y
80/2337,IVORY SPT-2 200 WATT HI-LOW,1.32,Y
80/2359,3 TERMINAL PORCELAIN SOCKET,1.8,y
80/2412,BLACK THERMOPLASTIC HD PLUG,2.1,y
80/2413,WHITE THERMOPLASTIC HD PLUG,2.1,y
80/2415,DARK ANT SB 3 PC ON-OFF TK SKT,4.2,y
80/2422,DARK ANT CAST BRASS 150 DIMMER,13.8,y
80/2423,DARK ANT CAST BRASS S. KEYLESS,7.5,y
80/2426,BROWN THERMOPLASTIC HD PLUG,2.1,y
80/2438,DARK ANT. ON/OFF PUSH THRU SKT,1.8,y
80/2478,BLACK 4PC KEYLESS CAST SOCKET,8.1,y
80/2479,BLACK 4 PC 150 DIMMER CAST SKT,11.94,y
80/2482,BLACK 4 PC ON/OFF T/K CAST SKT,10.2,y
90/1109,MED PORC TWIN LAMPHOLDER 1/8IP,4.2,y
90/1112,MED PORC SCKT 2 PC. 660W/250V.,1.68,y
90/1707,MED BASE POR SOCKET 3 TERM,2.34,y
90/1887,DARK ANT RIBBED VINTAGE CANOPY,3.25,y
90/1891,DARK ANT SMOOTH VINTAGE CANOPY,3.25,y
90/2368,BLK ROCKER FEED THRU SW FOR,0.72,y
90/433,HEAVY BROWN FEED THRU SWITCH,2.95,y
90/5004,"1/8 IP X 1/2"" NIPPLE YZP",0.03,y
90/5008,"1/8 IP X 1"" NIPPLE YZP",0.05,y
90/5016,"1/8 IP X 2"" NIPPLE YZP",0.09,y
90/821,200W BROWN HI-LO DIMMER SPT2,1.32,y
90/893,BLACK FINISH CON CANOPY KIT,3.25,y
90/940,WIRE SHADE CLIP,0.88,y
