Part Type,Old SKUs,Part Number,Price,,Inventory 10/22/25,Order 11/12/25,Total,,,,,Order 12/3/25,Total
,,,,,,,,,,,,,
Bulbs,,,,,,,,,,,,,
B{LED}[TYPE][FINISH/STYLE][WATTAGE],,,,,,,,,,,,,
BA194L40,,S2412,3.75,3.75,90,,,"BULB: VICTORIAN STYLE WITH QUAD LOOP FILAMENT, 40W",,,,,
BA194L60,,S2419,3.75,3.75,10,20,75,"BULB: VICTORIAN STYLE WITH QUAD LOOP FILAMENT, 60W",,,,,
BA19SIL60,,S3955,1.10,1.10,2,20,22,"BULB: SILVERED ANTI-GLARE, 60W",,,,,
BA19SIL100,,S3956,1.10,1.10,5,10,11,"BULB: SILVERED ANTI-GLARE, 100W",,,,,
BG25SIL40,,S3861,1.75,1.75,0,20,,"BULB: SILVERED ANTI-GLARE, GLOBE STYLE, 40W",,,,,
BG25CG40,,S2425,,,8,,,"BULB: GLOBE STYLE WITH CAGE FILAMENT, 40W",,,,,
BLEDG25SIL4.5,,S12541,3.95,3.95,0,20,,"BULB: SILVERED ANTI-GLARE, GLOBE STYLE, LED, 4.5W",,,,,
BLEDT6CL2.5,BLED2.5T6,S9872,,,11,,,"BULB: TUBE STYLE WITH LED FILAMENT, CANDELABRA BASE, CLEAR, 2.5W",,,,,
BLEDT6AMB2.5,BLED2.5T6AMB,S9873,,,13,,,"BULB: TUBE STYLE WITH LED FILAMENT, CANDELABRA BASE, AMBER, 2.5W",,,,,
BLEDT6AMB3.5,BLED3.5T6AMB,S9986,,,105,,,"BULB: TORPEDO STYLE WITH LED FILAMENT, AMBER, CANDELABRA BASE, 3.5W",,,,,
BLEDA19AMB4.5,BLED4.5A19,S9583,,,12,,,"BULB: VICTORIAN STYLE WITH LED FILAMENT, AMBER, 4.5W",,,,,
BLEDG25AMB4.5,BLED4.5G25,S9584,,,22,,,"BULB: GLOBE STYLE WITH LED FILAMENT, AMBER, 4.5W",,,,,
BLEDST19AMBS4.5,BLED4.5ST19,S8612,,,12,,,"BULB: EDISON STYLE WITH LED FILAMENT, AMBER, 4.5W",,,,,
BLEDST19AMB6.5,BLED6.5ST19,discontinued? maybe S9272?,,,15,,,"BULB: EDISON STYLE WITH LED FILAMENT, AMBER, 6.5W",,,,,
BLEDT104.5,BLED4.5T10,probably S9580 but need to confirm color temp,,,12,,,"BULB: TUBE STYLE WITH LED FILAMENT, 4.5W",,,,,
BST19MA60,BS21MA60,"need to figure this one out, there is no S21 lamp type in satco",,,9,,,"BULB: EDISON STYLE WITH MARCONI FILAMENT, 60W",,,,,
BST19CG40,,S2413,,,161,,,"BULB: EDISON STYLE WITH CAGE FILAMENT, 40W",,,,,
BST19CG60,,S2423,,,12,,,"BULB: EDISON STYLE WITH CAGE FILAMENT, 60W",,,,,
BST19HP40,,S2414,,3.75,403,,,"BULB: EDISON TEARDROP STYLE WITH HAIRPIN FILAMENT, 40W",,,,,
BT14CG40,,S2417,2.95,3.75,0,20,59,"BULB: RADIO TUBE STYLE, CLEAR, 40W",,,,,
BT14CGAMB30,BT14MA30AMB,discontinued?,,,29,,,"BULB: RADIO TUBE STYLE, AMBER, 30W",,,,,
BT9CG40,,discontinued?,,,23,,,"BULB: TUBE STYLE WITH CAGE FILAMENT, 40 Watt, CANDELABRA BASE",,,,,
,,,,,,,,,,,,,
Bulb Clips,,,,,,,,,,,,,
,,,,,,,,,,,,,
BCLIPMED,,90/940,0.88,0.88,3,10,8.8,,,,,,
,,,,,,,,,,,,,
Cages,,,,,,,,,,,,,
,,,,,,,,,,,,,
CAGEBK,,90-1916,,,15,,,"Bulb Cage, Black",,,,,
CAGEBR,,90-1310,,2.25,20,,,"Bulb Cage, Brass",,,,,
CAGEAB,,90-1919,,,15,,,"Bulb Cage, Antique Brass",,,,,
CAGENK,,90-1912,,,29,,,"Bulb Cage, Nickel",,,,,
