SKU,Handle,Title,Option,Status,Published,Type,Qty,Price,Cost,Inv Value
W121CRBK100S,single-conductor-12-gauge-black-knob-and-tube-wire,,By the 100-foot spool,active,,,43,225.00,100.04,4301.72
W121CRBK250S,single-conductor-12-gauge-black-knob-and-tube-wire,,By the 250-foot spool,active,,,4,525.00,242.97,971.88
W121CRBK500S,single-conductor-12-gauge-black-knob-and-tube-wire,,By the 500-foot spool,active,,,4,950.00,481.18,1924.72
W121CRBKXXF,single-conductor-12-gauge-black-knob-and-tube-wire,SINGLE CONDUCTOR 12-GAUGE BLACK KNOB & TUBE WIRE,By the foot,active,TRUE,Wire,4930,2.50,0.95,4683.50
W141CRBKXXF,single-conductor-14-gauge-black-cotton-wire,SINGLE-CONDUCTOR 14-GAUGE BLACK COTTON WIRE,By the foot,active,TRUE,Wire,0,1.00,0.11,
W141CRBKXXS,single-conductor-14-gauge-black-cotton-wire,SINGLE-CONDUCTOR 14-GAUGE BLACK COTTON WIRE,By the 100-foot spool,active,TRUE,Wire,0,65.00,12.43,
W141CRDBXXF,single-conductor-14-gauge-dark-brown-cotton-wire,SINGLE-CONDUCTOR 14-GAUGE DARK BROWN COTTON WIRE,By the foot,active,TRUE,Wire,0,1.00,0.11,
W141CRDBXXS,single-conductor-14-gauge-dark-brown-cotton-wire,SINGLE-CONDUCTOR 14-GAUGE DARK BROWN COTTON WIRE,By the 100-foot spool,active,TRUE,Wire,0,65.00,12.50,
W143CPBKXXF,3-conductor-14-gauge-black-cotton-pulley-cord,3-CONDUCTOR 14-GAUGE BLACK COTTON PULLEY CORD,By the foot,active,TRUE,Wire,20,3.25,0.37,7.40
W143CPBKXXS,3-conductor-14-gauge-black-cotton-pulley-cord,3-CONDUCTOR 14-GAUGE BLACK COTTON PULLEY CORD,By the 100-foot spool,active,TRUE,Wire,0,150.00,38.36,
W143CPDBXXF,3-conductor-14-gauge-dark-brown-cotton-pulley-cord,3-CONDUCTOR 14-GAUGE DARK BROWN COTTON PULLEY CORD,By the foot,active,TRUE,Wire,2,3.25,0.37,0.74
W143CPDBXXS,3-conductor-14-gauge-dark-brown-cotton-pulley-cord,3-CONDUCTOR 14-GAUGE DARK BROWN COTTON PULLEY CORD,By the 100-foot spool,active,TRUE,Wire,0,150.00,38.48,
W143RPPWXXF,3-conductor-14-gauge-pewter-rayon-pulley-cord,3-CONDUCTOR 14-GAUGE PEWTER RAYON PULLEY CORD,By the foot,active,TRUE,Wire,4931,3.25,0.42,2071.02
W143RPPWXXS,3-conductor-14-gauge-pewter-rayon-pulley-cord,3-CONDUCTOR 14-GAUGE PEWTER RAYON PULLEY CORD,By the 100-foot spool,active,TRUE,Wire,2,150.00,43.28,86.56
