"# Y = compatible, N = not compatible, ? = please confirm. Edit any cell. Prefilled from auto-derived rules — please verify every one.",,,,,,,,,,,,,,,,,,
Type,Component,SKU(s),Price,Attributes (from catalog),Colors / finishes,Shopify variantId,14g Pulley,16g Twisted,18g Twisted,20g Twisted,22g Twisted,2-cond 18g Pulley,3-cond 18g Pulley,16g 3-cond Pulley,18g SJT Heavy Duty,Overbraid 3-cond,Parallel,Notes / corrections
PLUG,"3 PRONG, HEAVY RUBBER PLUG, Black",PN3HVRUBBK,6.5,3-prong,,29897619046464,Y,N,N,N,N,N,Y,Y,Y,Y,N,
PLUG,"3 PRONG, THERMOPLASTIC PLUG",PN3THERMOBK; PN3THERMOBN; PN3THERMOWH,4.5,3-prong,"Color: black, brown, white",29897626943552,N,N,N,N,N,N,Y,Y,Y,Y,N,
PLUG,RECTANGULAR PLUG,PN2RECTBK; PN2RECTBN; PN2RECTWH,2.5,2-prong,"Color: black, brown, white",30043530133568,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,
PLUG,"RIBBED ROUND PLUG, WITH NECK, Black",PN2RIBNKBK,5.5,2-prong,,30043530330176,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,
PLUG,RUBBER RECTANGULAR PLUG,PN2RUBRECTBK; PN2RUBRECTWH,3,2-prong,"Color: Black, White",39276068307015,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,
PLUG,ACORN Button PLUG,PN2ACNBK; PN2ACNBN; PN2ACNWH,6,2-prong,"Color: black, brown, white",30043766620224,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,
PLUG,RIBBED Button PLUG,PN2RIBBK; PN2RIBBN; PN2RIBWH,6,2-prong,"Color: black, brown, white",30043766751296,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,
PLUG,"ROUND PLUG, WITH NECK, Black or Brown",PN2RNDNKBK; PN2RNDNKBN,2.5,2-prong,"Color: Black, Brown",39738751287367,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,
PLUG,"FACETED PLUG, WITH NECK",PN2ANFACBN,4,2-prong,Color: Brown,39257187680327,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,
PLUG,HEAVY DUTY SHALLOW PLUG WITH NECK,PN2HVYSHBK,5.5,2-prong,,45004892832024,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,
SWITCH,SWITCH: Large In-Line Rocker,SWLGBN; SWLGIV,7,"fits: overbraid, parallel, pulley, twisted","Color: brown, ivory",30045782605888,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,
SWITCH,SWITCH: Rotary In-Line,SWROTBN; SWROTCL; SWROTCLGD; SWROTWH,1.75,"fits: parallel, twisted","Color: brown, clear, clear gold, white",30045782704192,N,Y,Y,Y,Y,N,N,N,N,N,Y,
SWITCH,SWITCH: Rotary Dimmer In-Line,SWROTDIMBK; SWROTDIMBN; SWROTDIMIV; SWROTDIMWH,4,"fits: parallel, twisted","Color: black, brown, ivory, white",31279717253191,N,Y,Y,Y,Y,N,N,N,N,N,Y,
SWITCH,SWITCH: Slim In-Line,SWSLIMBK; SWSLIMBN; SWSLIMCL; SWSLIMCLGD; SWSLIMWH,1.75,"fits: parallel, twisted","Color: black, brown, clear, clear gold, white",30045782933568,N,Y,Y,Y,Y,N,N,N,N,N,Y,
SWITCH,SWITCH: Vintage Style Large In-Line Rocker,SWVTGLGBN; SWVTGLGIV,9,"fits: overbraid, parallel, pulley, twisted","Color: brown with white rocker, ivory with brown rocker",30045783130176,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,
